stage,recipe_id,unit_id,dataset,seed,learned_moe,expert0_mean,expert1_mean,expert0_q05,expert0_q50,expert0_q95,expert1_q05,expert1_q50,expert1_q95,fraction_max_expert_gt_0_95,collapse_diagnostic_min_mean_lt_0_05,gate_sha256
R1,R00,u000,a1,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,bfbde3c59d8a4725f724583a3927ae3e1be5082e4bd42927b4aae861622fec7d
R1,R00,u001,a1,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,bfbde3c59d8a4725f724583a3927ae3e1be5082e4bd42927b4aae861622fec7d
R1,R00,u005,tonsil,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,8ac8257e26879a20f3753aae9942034170ce72dc9df5d29e216722df48cfec15
R1,R00,u006,tonsil,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,8ac8257e26879a20f3753aae9942034170ce72dc9df5d29e216722df48cfec15
R1,R00,u010,d1,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5
R1,R00,u011,d1,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5
R1,R00,u020,p22,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7
R1,R00,u021,p22,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7
R1,R01,u000,a1,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,bfbde3c59d8a4725f724583a3927ae3e1be5082e4bd42927b4aae861622fec7d
R1,R01,u001,a1,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,bfbde3c59d8a4725f724583a3927ae3e1be5082e4bd42927b4aae861622fec7d
R1,R01,u005,tonsil,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,8ac8257e26879a20f3753aae9942034170ce72dc9df5d29e216722df48cfec15
R1,R01,u006,tonsil,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,8ac8257e26879a20f3753aae9942034170ce72dc9df5d29e216722df48cfec15
R1,R01,u010,d1,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5
R1,R01,u011,d1,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5
